Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
__libc_multiple_libcs;../elf/dl-sysdep.c;58;0.35962462425231934;0-2;LSB bit-flip
any_debug;rtld.c;2239;0.3440132141113281;0-2;LSB bit-flip
library_path;rtld.c;743;0.809077262878418;0-2;LSB bit-flip
relocate_time;rtld.c;215;0.6424715518951416;0-2;LSB bit-flip
version_info;rtld.c;747;0.5882670879364014;0-2;LSB bit-flip
_rtld_local;rtld.c;162;0.40587306022644043;0-2;LSB bit-flip
_rtld_local;rtld.c;162;0.6496973037719727;0-2;LSB bit-flip
_rtld_global;rtld.c;140;0.29309892654418945;0-2;LSB bit-flip
_dl_argc;rtld.c;82;0.4883759021759033;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.5754680633544922;0-2;LSB bit-flip
_dl_argc;rtld.c;82;0.847602128982544;0-2;LSB bit-flip
_dl_rtld_libname;rtld.c;210;0.7074379920959473;0-2;LSB bit-flip
finput;binary_search.c;38;0.24256324768066406;0-2;LSB bit-flip
_rtld_global;rtld.c;140;0.5933775901794434;0-2;LSB bit-flip
__libc_multiple_libcs;../elf/dl-sysdep.c;58;1.0331945419311523;0-2;LSB bit-flip
load_time;rtld.c;216;0.8568463325500488;0-2;LSB bit-flip
__pointer_chk_guard_local;rtld.c;96;1.0618760585784912;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;168;0.5548429489135742;0-2;LSB bit-flip
preloadlist;rtld.c;745;0.5334639549255371;0-2;LSB bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;56;0.31101322174072266;0-2;LSB bit-flip
start_time;rtld.c;217;0.43114590644836426;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.9474787712097168;0-2;LSB bit-flip
_rtld_local;rtld.c;162;1.1198575496673584;0-2;LSB bit-flip
_dl_rtld_libname;rtld.c;210;0.5877454280853271;0-2;LSB bit-flip
filename;binary_search.c;37;0.23580431938171387;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;168;0.9602437019348145;0-2;LSB bit-flip
_rtld_global;rtld.c;140;1.1064488887786865;0-2;LSB bit-flip
_IO_file_jumps_mmap;fileops.c;1562;0.32943058013916016;0-2;LSB bit-flip
any_debug;rtld.c;2239;0.20438694953918457;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.7575957775115967;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.8556404113769531;0-2;LSB bit-flip
_dl_rtld_libname;rtld.c;210;0.5050222873687744;0-2;LSB bit-flip
__libc_multiple_libcs;../elf/dl-sysdep.c;58;0.8419020175933838;0-2;LSB bit-flip
load_time;rtld.c;216;0.869239091873169;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.1279947757720947;0-2;LSB bit-flip
version_info;rtld.c;747;0.77327561378479;0-2;LSB bit-flip
load_time;rtld.c;216;0.5830824375152588;0-2;LSB bit-flip
_dl_rtld_libname2;rtld.c;211;0.43099379539489746;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.21693849563598633;0-2;LSB bit-flip
library_path;rtld.c;743;1.012326717376709;0-2;LSB bit-flip
version_info;rtld.c;747;1.0709865093231201;0-2;LSB bit-flip
_rtld_global;rtld.c;140;1.0220293998718262;0-2;LSB bit-flip
start_time;rtld.c;217;0.2551581859588623;0-2;LSB bit-flip
__libc_enable_secure;../elf/dl-sysdep.c;57;0.8271768093109131;0-2;LSB bit-flip
_rtld_local_ro;rtld.c;202;0.8613097667694092;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;168;1.0505430698394775;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.6785871982574463;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;168;1.1572990417480469;0-2;LSB bit-flip
__pointer_chk_guard_local;rtld.c;96;0.20581340789794922;0-2;LSB bit-flip
preloadlist;rtld.c;745;1.0670795440673828;0-2;LSB bit-flip
preloadlist;rtld.c;745;0.952296257019043;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;168;1.0285561084747314;0-2;LSB bit-flip
any_debug;rtld.c;2239;0.674837589263916;0-2;LSB bit-flip
file_size;rtld.c;794;0.8425381183624268;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;168;0.8733053207397461;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;1.038883924484253;0-2;LSB bit-flip
tls_init_tp_called;rtld.c;585;0.7355890274047852;0-2;LSB bit-flip
audit_list;rtld.c;124;0.6089437007904053;0-2;LSB bit-flip
_dl_argc;rtld.c;82;0.944084882736206;0-2;LSB bit-flip
audit_list;rtld.c;124;1.0120644569396973;0-2;LSB bit-flip
__libc_enable_secure;../elf/dl-sysdep.c;57;0.3708302974700928;0-2;LSB bit-flip
__pointer_chk_guard_local;rtld.c;96;0.6374690532684326;0-2;LSB bit-flip
_dl_rtld_libname2;rtld.c;211;0.6381869316101074;0-2;LSB bit-flip
__libc_enable_secure;../elf/dl-sysdep.c;57;1.0392582416534424;0-2;LSB bit-flip
audit_list;rtld.c;124;1.0287806987762451;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;168;0.1757211685180664;0-2;LSB bit-flip
_rtld_local;rtld.c;162;0.8766727447509766;0-2;LSB bit-flip
tls_init_tp_called;rtld.c;585;0.5845053195953369;0-2;LSB bit-flip
__libc_enable_secure;../elf/dl-sysdep.c;57;1.1412639617919922;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;168;0.7285778522491455;0-2;LSB bit-flip
rtld_total_time;rtld.c;326;1.0508153438568115;0-2;LSB bit-flip
file_size;rtld.c;794;0.22915267944335938;0-2;LSB bit-flip
_rtld_local_ro;rtld.c;202;0.682776927947998;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.7556405067443848;0-2;LSB bit-flip
_rtld_local_ro;rtld.c;202;0.36510515213012695;0-2;LSB bit-flip
start_time;rtld.c;217;0.9858644008636475;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.0710525512695312;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.47140026092529297;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;168;0.38559985160827637;0-2;LSB bit-flip
__pointer_chk_guard_local;rtld.c;96;1.009643793106079;0-2;LSB bit-flip
_rtld_global;rtld.c;140;0.7829904556274414;0-2;LSB bit-flip
relocate_time;rtld.c;215;0.31745123863220215;0-2;LSB bit-flip
_dl_rtld_libname;rtld.c;210;0.2728688716888428;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.6268270015716553;0-2;LSB bit-flip
_dl_rtld_libname2;rtld.c;211;0.673192024230957;0-2;LSB bit-flip
__pointer_chk_guard_local;rtld.c;96;0.9478139877319336;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;168;0.7621951103210449;0-2;LSB bit-flip
_dl_argc;rtld.c;82;1.1269633769989014;0-2;LSB bit-flip
tls_init_tp_called;rtld.c;585;0.4599120616912842;0-2;LSB bit-flip
_dl_argc;rtld.c;82;0.39227747917175293;0-2;LSB bit-flip
audit_list;rtld.c;124;0.22713470458984375;0-2;LSB bit-flip
relocate_time;rtld.c;215;0.38114309310913086;0-2;LSB bit-flip
_rtld_local_ro;rtld.c;202;0.3360409736633301;0-2;LSB bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;56;0.636690616607666;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.8894755840301514;0-2;LSB bit-flip
start_time;rtld.c;217;0.2811250686645508;0-2;LSB bit-flip
any_debug;rtld.c;2239;0.2592625617980957;0-2;LSB bit-flip
__libc_enable_secure;../elf/dl-sysdep.c;57;1.114046573638916;0-2;LSB bit-flip
any_debug;rtld.c;2239;1.1463623046875;0-2;LSB bit-flip
version_info;rtld.c;747;1.0158181190490723;0-2;LSB bit-flip
__libc_enable_secure;../elf/dl-sysdep.c;57;0.5447521209716797;0-2;LSB bit-flip
_dl_rtld_libname2;rtld.c;211;0.3797445297241211;0-2;LSB bit-flip
load_time;rtld.c;216;1.1029508113861084;0-2;LSB bit-flip
_rtld_local_ro;rtld.c;202;0.19590997695922852;0-2;LSB bit-flip
start_time;rtld.c;217;0.9575400352478027;0-2;LSB bit-flip
_dl_argc;rtld.c;82;0.2152400016784668;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;168;1.108741283416748;0-2;LSB bit-flip
_dl_argc;rtld.c;82;0.4531402587890625;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.7557804584503174;0-2;LSB bit-flip
rtld_total_time;rtld.c;326;0.2558104991912842;0-2;LSB bit-flip
load_time;rtld.c;216;1.0372540950775146;0-2;LSB bit-flip
library_path;rtld.c;743;0.8072199821472168;0-2;LSB bit-flip
_dl_rtld_libname2;rtld.c;211;0.6290032863616943;0-2;LSB bit-flip
_rtld_local_ro;rtld.c;202;0.9205446243286133;0-2;LSB bit-flip
_rtld_local;rtld.c;162;0.6717159748077393;0-2;LSB bit-flip
tls_init_tp_called;rtld.c;585;0.1712179183959961;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;168;0.8922431468963623;0-2;LSB bit-flip
load_time;rtld.c;216;0.8269698619842529;0-2;LSB bit-flip
_dl_argc;rtld.c;82;0.6664807796478271;0-2;LSB bit-flip
_dl_argc;rtld.c;82;0.3202507495880127;0-2;LSB bit-flip
any_debug;rtld.c;2239;0.5709578990936279;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.3945014476776123;0-2;LSB bit-flip
start_time;rtld.c;217;0.682589054107666;0-2;LSB bit-flip
_dl_argc;rtld.c;82;0.9097778797149658;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;1.0145561695098877;0-2;LSB bit-flip
_dl_argc;rtld.c;82;0.7154948711395264;0-2;LSB bit-flip
__libc_enable_secure;../elf/dl-sysdep.c;57;0.3896656036376953;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.9376716613769531;0-2;LSB bit-flip
relocate_time;rtld.c;215;0.9760315418243408;0-2;LSB bit-flip
start_time;rtld.c;217;0.7453575134277344;0-2;LSB bit-flip
audit_list;rtld.c;124;0.8781886100769043;0-2;LSB bit-flip
_dl_rtld_libname;rtld.c;210;0.4978489875793457;0-2;LSB bit-flip
__libc_enable_secure;../elf/dl-sysdep.c;57;1.0087957382202148;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.952782154083252;0-2;LSB bit-flip
_rtld_local;rtld.c;162;0.748898983001709;0-2;LSB bit-flip
_rtld_local;rtld.c;162;1.093151569366455;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.523160457611084;0-2;LSB bit-flip
start_time;rtld.c;217;0.3703916072845459;0-2;LSB bit-flip
any_debug;rtld.c;2239;0.24221301078796387;0-2;LSB bit-flip
audit_list;rtld.c;124;0.5727581977844238;0-2;LSB bit-flip
