Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
user_entry;../elf/dl-sysdep.c;89;0.9928035736083984;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.9562363624572754;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.0649220943450928;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.33505749702453613;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.0365705490112305;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.9937422275543213;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;168;0.19721102714538574;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.42607617378234863;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.23221445083618164;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.1533961296081543;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.7523953914642334;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.37073373794555664;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.40015506744384766;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.9304065704345703;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.44509100914001465;0-2;LSB bit-flip
_rtld_local_ro;rtld.c;202;0.9131865501403809;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6663782596588135;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.0406992435455322;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.7851166725158691;0-2;LSB bit-flip
errstring;dl-error.c;161;1.0299935340881348;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.23385953903198242;0-2;LSB bit-flip
_dl_argv;rtld.c;86;1.0359723567962646;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.8171565532684326;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.9931943416595459;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.7204973697662354;0-2;LSB bit-flip
_rtld_local;rtld.c;162;0.4692423343658447;0-2;LSB bit-flip
_rtld_global;rtld.c;140;1.1120340824127197;0-2;LSB bit-flip
_rtld_global;rtld.c;140;1.0059773921966553;0-2;LSB bit-flip
