Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
data;merge.c;102;0.6119539737701416;0-2;LSB bit-flip
arr;merge.c;60;0.4074716567993164;0-2;LSB bit-flip
data;merge.c;102;0.6255955696105957;0-2;LSB bit-flip
i;merge.c;10;0.6306962966918945;0-2;LSB bit-flip
R;merge.c;15;1.1311414241790771;0-2;LSB bit-flip
curr_size;merge.c;62;0.5160179138183594;0-2;LSB bit-flip
left_start;merge.c;64;0.18398809432983398;0-2;LSB bit-flip
curr_size;merge.c;62;0.405559778213501;0-2;LSB bit-flip
curr_size;merge.c;62;0.3338322639465332;0-2;LSB bit-flip
left_start;merge.c;64;0.7073242664337158;0-2;LSB bit-flip
curr_size;merge.c;62;1.126002311706543;0-2;LSB bit-flip
data;merge.c;102;0.4684755802154541;0-2;LSB bit-flip
n;merge.c;60;0.6568684577941895;0-2;LSB bit-flip
curr_size;merge.c;62;0.9453930854797363;0-2;LSB bit-flip
curr_size;merge.c;62;0.92569899559021;0-2;LSB bit-flip
curr_size;merge.c;62;0.2613809108734131;0-2;LSB bit-flip
arr;merge.c;60;0.8347487449645996;0-2;LSB bit-flip
curr_size;merge.c;62;0.28092241287231445;0-2;LSB bit-flip
